Country,Gold,Silver,Bronze,Total,Gold_lower,Gold_upper,Silver_lower,Silver_upper,Bronze_lower,Bronze_upper,Total_lower,Total_upper
United_States,42.41906323283761,42.29014724883977,32.84236157988404,117.55157206156144,13.8894547575879,72.42434049032212,13.0482611641558,71.15939977480973,1.5317272867000624,65.68422876653263,20.03904458647192,180.55702803462475
China,30.957631660315784,28.50429342680914,23.770476818084717,92.7854652691569,0.0,61.0814297897271,13.784814265181955,43.64315650347682,5.854030118752172,41.66462925253877,49.69091753533344,135.23148569814404
Russia,31.37093621463954,25.09871838443828,29.82976522942384,86.29941982850166,0.0,65.53906447639368,0.0,59.9245886085162,2.1013984314662246,56.11640581226598,0.0941955002155376,133.82108299847712
Japan,24.46912240982056,15.02326236128732,12.625587463378908,52.11797223448679,8.38015638618668,40.50361815265107,7.715767405871667,23.03566887444579,1.2893641529863291,24.70423078398732,47.37371146023536,88.13420745686759
Great_Britain,10.316262789149537,20.296102333068845,16.86363881429036,47.47600393650874,0.0,36.56751091134357,0.0,42.67730210146303,0.0,36.842803611038846,0.0,118.32430402824713
Australia,17.386400520801544,16.007566047483238,17.076301026404156,47.07806062698364,7.565260931594115,28.35273962277481,3.7121615885874673,28.01513346475599,5.116196065925629,29.408181112758044,20.04383170632181,74.12930722080594
France,11.024791002273558,20.36531392023563,13.13305836033114,44.52316328284033,0.0,22.700432120297773,6.081447260751252,35.71949783487417,0.0,28.862631335583117,0.0,80.58265171676011
South_Korea,15.445748567581177,5.385525680921683,10.262156814336777,40.87172954330365,6.005713494364592,24.60695108916767,0.0,14.247862782391111,3.164158896053844,17.752936362726906,25.22263520382725,56.42277997721148
Italy,11.53060833261155,10.623692010800438,15.37748674747086,39.06280630524568,2.866244888902928,20.72729547512161,3.234160994462353,17.469668299270854,5.880255213988608,25.10965325603915,17.50695468957057,58.82014170357032
Netherlands,13.91281384539907,12.367856525258397,10.466147581025815,38.65240324688414,5.864125425845293,21.63442388685761,3.6345470155063846,20.894149945179183,2.247117170352311,17.843453615003753,23.352863899840507,55.55920098663224
Germany,9.283686909782674,13.70296169365862,8.472214114901666,31.458862718342964,0.0,34.9734624778989,0.0,34.753231823582055,0.0,30.490506497884827,0.0,101.8316071661818
Canada,7.546664646693639,3.115999965529264,12.014387184477744,26.55294325292187,1.4285221786758158,13.58107317505547,0.0,11.14834965368285,3.299496709228784,20.91362830553204,6.451356972112414,47.8161394116268
Hungary,6.283234725488626,5.748651389602628,7.168949125958589,23.49288329532002,0.0,13.417186189062663,0.0,13.981856179009654,0.0,16.43384747555315,6.115050404397089,39.72035382020852
Brazil,7.899766141328785,6.741868975630411,7.883025778919743,21.866975437228707,3.914095330035945,11.69182174812146,2.949280270910876,10.169882178103132,2.361186618231676,12.903036888457397,13.121851695803146,30.79768275469494
Yugoslavia,5.900125591541148,4.8645750786744095,6.851676017270368,21.71337560327828,1.9792624308885896,9.977880776018475,1.8395302512377525,7.991050213278051,3.6757585320481856,10.163025512305376,13.860531654934356,28.96979181077264
New_Zealand,8.758020281791687,7.628179590830594,5.433932781219482,20.206432713275,0.3945375192293193,17.39733803795909,3.719971689311748,11.592199992475074,0.0,11.517894648064894,12.060728837148035,28.592237690109634
Ukraine,1.261344909667968,5.016948007047176,11.990192624495991,18.99290060997009,0.0,7.183348260724802,1.0503196991886323,8.937271843047082,3.5524089960121774,21.055794475011105,4.462926352617026,32.50964372687754
Mixed_team,7.919584305087355,1.0028759241104126,1.0016807715098066,18.037174887619432,4.092903560732405,11.547731916929132,0.0,7.48859272702115,0.0,7.159792893173655,9.655556422862771,26.767526210018872
Spain,2.8835240715941994,6.7755355370887695,7.520279959568725,15.774865232858836,0.0,10.3233198507887,0.0,16.71659017094943,4.305722572366042,11.032191294972671,5.468034017871169,25.675864053875287
Denmark,1.8559695919012191,5.058563503725774,5.474763508500724,13.598296938271352,0.0,4.521964666120052,0.153480310035071,9.918988299065576,0.7494438992212247,10.113616613274637,5.012238771583334,21.696772621414077
Uzbekistan,10.298644300226872,0.1631936337443231,6.977840900421142,12.998743057250977,2.910289309149144,16.99547624398265,0.0,1.0538905940022734,0.5239985212782742,13.141602796991007,0.9351862583881756,25.315732158597854
Poland,1.9915770324982185,5.026689577983157,4.092701978582372,11.967033935927455,0.0,6.452549639924407,0.0,11.087647077795404,0.0,12.045278060790372,0.0,25.11316438521006
Romania,3.065636620134627,1.90389746700236,2.712260979865822,11.337764556931685,0.0,16.51021823073559,0.0,10.85794222077591,0.0,12.023561267193625,0.0,36.42325345591831
Czechoslovakia,4.874710380852696,4.588985298876577,2.0580542683601397,10.426205715828775,0.0,10.020233888883425,0.9861883405655942,7.935793176659107,0.0,6.674274939777674,1.6257374163417595,19.141580727169902
Czech_Republic,1.0063467025756831,5.437575560002876,6.9852492809295645,9.995704650878904,0.0,5.325362058610651,3.017499165414483,7.936910120741317,0.1159393841645655,13.553598599216814,3.813813001987172,16.050381267710662
Georgia,1.0011909604072566,2.017426639795303,2.123252272605896,9.397497685171064,0.0,3.5107944309067345,0.0,5.411659226186001,0.0,6.093550075332328,6.079226519642452,12.937110129318592
India,0.5269158050018101,2.023919599808396,3.641111606767236,9.22825451302278,0.0,1.812963114744995,0.6318350340475094,3.4159368478825565,1.480557670207037,5.878249305065246,6.008480206693589,12.64102506690684
Norway,2.632901355451319,3.692279430536123,1.330212845157365,9.086952397301763,0.0,8.700408602033795,0.0,8.568277100949619,0.0,5.685682189463062,0.0,22.32294984906388
Iran,4.25202488899231,2.775685734219021,2.062874523286108,9.022931615783564,0.0,8.910853459125464,0.0,7.064751060411259,0.0,4.4562652195963,1.8232583676182783,16.652131190823766
Serbia,3.025556329273859,1.0006050825119015,4.984606409072875,8.981088685989379,1.6677235103104426,4.243594795297764,0.0,3.945150647251804,1.673814725112741,8.44342005713695,3.3683614440221006,14.21302239475768
Ethiopia,0.9227682777813502,3.4459772109985347,3.1717022027698043,8.482226262291654,0.0,4.184330867655015,0.7026460105680195,6.0701191311790925,0.0,6.927101309385464,2.2341732916689616,14.694347038287573
Sweden,2.549513714451577,4.393030256098493,0.8804588317871094,8.172384613747813,0.0,11.234184532461128,0.0,13.216671408511871,0.0,11.691789688832062,0.0,32.55695431334102
Croatia,0.6783551811902209,2.9462082783377546,1.8615660194985628,8.088729479550105,0.0,5.586885021342799,1.0068560165061726,5.034050212620495,0.2972577704894562,3.4876839696618336,2.797611461327396,13.32605884745964
Kenya,5.471725123269217,5.971400090626307,1.7590028429895046,8.01849913597107,0.371343138589244,10.32219627270756,1.2842442314998022,11.062842450950496,0.0,5.921780413018751,0.0,17.35226062615113
